MD;GR;DRX
5449.84;34.49;
5450.00;39.76;
5450.15;40.19;
5450.30;35.52;
5450.45;29.10;
5450.61;25.89;
5450.76;25.68;
5450.91;28.10;
5451.06;30.68;
5451.21;31.61;
5451.37;32.85;
5451.52;34.05;
5451.67;34.35;
5451.82;29.60;
5451.98;26.19;
5452.13;24.86;
5452.28;27.78;
5452.43;27.73;
5452.59;24.63;
5452.74;20.49;
5452.89;20.10;
5453.04;25.45;
5453.20;31.45;
5453.35;36.35;
5453.50;36.62;
5453.65;37.85;
5453.81;39.57;
5453.96;44.54;
5454.11;43.45;
5454.26;40.06;
5454.42;37.69;
5454.57;40.65;
5454.72;41.71;
5454.87;36.74;
5455.02;29.63;
5455.18;25.04;
5455.33;24.08;
5455.48;24.76;
5455.63;28.37;
5455.79;33.20;
5455.94;38.03;
5456.09;41.86;
5456.24;44.15;
5456.40;44.28;
5456.55;41.58;
5456.70;38.56;
5456.85;37.37;
5457.01;36.51;
5457.16;38.74;
5457.31;43.41;
5457.46;49.72;
5457.62;52.07;
5457.77;45.95;
5457.92;40.00;
5458.07;34.64;
5458.23;30.68;
5458.38;24.76;
5458.53;21.03;
5458.68;22.07;
5458.83;22.77;
5458.99;21.14;
5459.14;20.49;
5459.29;19.93;
5459.44;19.65;
5459.60;17.84;
5459.75;16.48;
5459.90;16.09;
5460.05;17.17;
5460.21;18.41;
5460.36;18.38;
5460.51;18.53;
5460.66;18.95;
5460.82;19.87;
5460.97;18.51;
5461.12;16.50;
5461.27;15.17;
5461.43;14.95;
5461.58;15.03;
5461.73;14.92;
5461.88;14.85;
5462.04;15.88;
5462.19;17.91;
5462.34;20.23;
5462.49;25.62;
5462.64;30.17;
5462.80;31.83;
5462.95;29.39;
5463.10;24.77;
5463.25;22.78;
5463.41;21.32;
5463.56;21.10;
5463.71;21.11;
5463.86;21.00;
5464.02;21.73;
5464.17;20.32;
5464.32;19.83;
5464.47;19.44;
5464.63;19.05;
5464.78;18.15;
5464.93;16.65;
5465.08;15.95;
5465.24;15.30;
5465.39;14.50;
5465.54;15.09;
5465.69;16.67;
5465.85;22.69;
5466.00;28.78;
5466.15;30.52;
5466.30;27.06;
5466.45;21.26;
5466.61;18.67;
5466.76;16.87;
5466.91;16.20;
5467.06;17.06;
5467.22;18.57;
5467.37;19.33;
5467.52;18.14;
5467.67;16.82;
5467.83;16.95;
5467.98;18.20;
5468.13;19.22;
5468.28;20.94;
5468.44;24.49;
5468.59;28.32;
5468.74;30.78;
5468.89;30.99;
5469.05;31.56;
5469.20;31.69;
5469.35;30.55;
5469.50;32.98;
5469.66;33.04;
5469.81;31.74;
5469.96;24.80;
5470.11;21.25;
5470.26;19.63;
5470.42;19.97;
5470.57;19.58;
5470.72;21.76;
5470.87;22.81;
5471.03;25.33;
5471.18;25.59;
5471.33;28.68;
5471.48;32.54;
5471.64;37.32;
5471.79;39.00;
5471.94;38.57;
5472.09;38.87;
5472.25;40.76;
5472.40;39.98;
5472.55;34.16;
5472.70;26.16;
5472.86;20.45;
5473.01;19.85;
5473.16;22.56;
5473.31;24.10;
5473.47;23.30;
5473.62;21.17;
5473.77;20.06;
5473.92;19.63;
5474.07;18.78;
5474.23;18.62;
5474.38;18.18;
5474.53;16.80;
5474.68;15.40;
5474.84;14.77;
5474.99;17.12;
5475.14;21.24;
5475.29;26.91;
5475.45;29.44;
5475.60;30.94;
5475.75;30.43;
5475.90;33.21;
5476.06;38.07;
5476.21;38.67;
5476.36;33.85;
5476.51;25.56;
5476.67;20.58;
5476.82;19.99;
5476.97;20.21;
5477.12;21.85;
5477.28;23.10;
5477.43;24.04;
5477.58;25.74;
5477.73;30.65;
5477.88;34.06;
5478.04;35.37;
5478.19;33.09;
5478.34;33.89;
5478.49;35.65;
5478.65;39.23;
5478.80;41.97;
5478.95;39.40;
5479.10;32.62;
5479.26;23.72;
5479.41;20.64;
5479.56;19.80;
5479.71;19.89;
5479.87;21.47;
5480.02;22.65;6.8
5480.17;30.94;
5480.32;38.29;
5480.48;38.72;
5480.63;31.61;
5480.78;23.25;
5480.93;21.57;
5481.09;20.22;
5481.24;19.36;
5481.39;18.64;
5481.54;18.61;
5481.69;18.39;
5481.85;17.61;
5482.00;16.53;
5482.15;16.12;
5482.30;18.68;
5482.46;21.41;
5482.61;22.32;
5482.76;19.79;
5482.91;17.13;
5483.07;16.34;
5483.22;17.08;
5483.37;17.82;
5483.52;18.07;
5483.68;19.76;
5483.83;23.25;
5483.98;29.78;
5484.13;34.90;
5484.29;37.49;
5484.44;32.84;
5484.59;26.29;
5484.74;20.07;
5484.90;16.95;
5485.05;15.39;6.6
5485.20;15.47;
5485.35;17.55;
5485.50;19.15;
5485.66;19.07;
5485.81;16.75;
5485.96;16.48;
5486.11;16.08;
5486.27;16.16;
5486.42;15.01;
5486.57;14.41;
5486.72;14.39;
5486.88;15.87;
5487.03;17.89;
5487.18;17.08;
5487.33;14.57;
5487.49;12.29;
5487.64;12.34;
5487.79;12.41;
5487.94;12.22;
5488.10;11.69;
5488.25;11.72;
5488.40;11.48;
5488.55;11.41;
5488.71;11.86;
5488.86;14.04;
5489.01;16.11;
5489.16;18.66;
5489.31;19.77;
5489.47;20.49;
5489.62;19.03;
5489.77;17.96;
5489.92;18.21;
5490.08;18.09;0.5
5490.23;17.60;
5490.38;17.29;
5490.53;18.37;
5490.69;18.57;
5490.84;18.21;
5490.99;17.66;
5491.14;18.51;
5491.30;19.53;
5491.45;20.26;
5491.60;18.88;
5491.75;16.18;
5491.91;14.64;
5492.06;15.97;
5492.21;20.06;
5492.36;23.55;
5492.52;24.70;
5492.67;21.60;
5492.82;17.76;
5492.97;16.02;
5493.12;16.73;
5493.28;17.69;
5493.43;18.13;
5493.58;18.64;
5493.73;18.37;
5493.89;16.86;
5494.04;14.91;
5494.19;13.33;
5494.34;12.80;
5494.50;13.17;
5494.65;13.92;
5494.80;14.26;
5494.95;13.68;
5495.11;13.23;
5495.26;13.44;
5495.41;14.12;
5495.56;15.06;
5495.72;17.25;
5495.87;20.14;
5496.02;21.84;
5496.17;20.89;
5496.33;17.82;
5496.48;14.74;
5496.63;12.37;
5496.78;12.30;
5496.93;14.14;
5497.09;15.28;
5497.24;14.57;
5497.39;12.79;
5497.54;12.23;
5497.70;12.33;
5497.85;11.58;
5498.00;10.74;
5498.15;11.36;
5498.31;12.57;
5498.46;14.17;
5498.61;14.91;
5498.76;15.24;
5498.92;15.24;
5499.07;14.88;
5499.22;15.07;
5499.37;15.34;
5499.53;16.61;
5499.68;17.43;
5499.83;17.07;
5499.98;15.35;
5500.14;14.67;
5500.29;15.24;
5500.44;15.92;
5500.59;15.15;
5500.74;14.33;
5500.90;13.96;
5501.05;14.27;
5501.20;13.72;
5501.35;13.03;
5501.51;12.31;
5501.66;11.80;
5501.81;11.49;
5501.96;11.64;
5502.12;11.60;
5502.27;11.32;
5502.42;10.57;
5502.57;10.04;
5502.73;10.13;
5502.88;10.66;
5503.03;11.25;0
5503.18;12.06;
5503.34;15.12;
5503.49;18.04;
5503.64;20.39;
5503.79;21.07;
5503.95;22.30;
5504.10;22.70;
5504.25;21.08;
5504.40;17.80;
5504.55;16.24;
5504.71;15.53;
5504.86;16.10;
5505.01;16.52;
5505.16;16.60;
5505.32;16.51;
5505.47;15.88;
5505.62;15.61;
5505.77;15.76;
5505.93;14.85;
5506.08;14.24;
5506.23;13.92;
5506.38;14.96;
5506.54;15.29;
5506.69;14.90;
5506.84;13.48;
5506.99;12.26;
5507.15;11.19;
5507.30;9.95;
5507.45;10.33;
5507.60;10.28;
5507.76;12.72;
5507.91;13.37;
5508.06;13.15;
5508.21;11.42;
5508.36;10.19;
5508.52;10.93;
5508.67;11.76;
5508.82;13.58;
5508.97;13.76;
5509.13;13.57;
5509.28;12.32;
5509.43;12.86;
5509.58;13.82;
5509.74;15.51;
5509.89;15.12;
5510.04;13.87;6.7
5510.19;12.59;
5510.35;12.42;
5510.50;12.82;
5510.65;12.90;
5510.80;14.23;
5510.96;16.39;
5511.11;18.14;
5511.26;17.68;
5511.41;15.38;
5511.57;14.36;
5511.72;14.73;
5511.87;14.51;
5512.02;13.08;
5512.17;11.56;
5512.33;12.11;
5512.48;13.03;
5512.63;14.42;
5512.78;14.66;
5512.94;15.03;
5513.09;14.81;
5513.24;14.51;
5513.39;14.57;
5513.55;14.21;
5513.70;14.23;
5513.85;13.98;
5514.00;14.72;
5514.16;16.02;
5514.31;18.51;
5514.46;22.57;
5514.61;26.68;
5514.77;30.42;
5514.92;31.57;
5515.07;31.99;
5515.22;32.66;
5515.38;31.86;
5515.53;30.19;
5515.68;26.10;
5515.83;22.04;
5515.98;18.63;
5516.14;16.10;
5516.29;14.92;
5516.44;13.79;
5516.59;13.67;
5516.75;13.75;
5516.90;13.43;
5517.05;12.90;
5517.20;13.05;
5517.36;13.96;
5517.51;14.55;
5517.66;16.16;
5517.81;17.36;
5517.97;17.74;0.9
5518.12;17.33;
5518.27;17.04;
5518.42;17.63;
5518.58;17.54;
5518.73;17.48;
5518.88;17.17;
5519.03;17.73;
5519.19;18.83;
5519.34;19.91;
5519.49;20.93;
5519.64;20.32;
5519.79;19.92;
5519.95;19.14;11.4
5520.10;20.34;
5520.25;21.53;
5520.40;22.65;
5520.56;22.84;
5520.71;21.53;
5520.86;20.13;
5521.01;18.32;
5521.17;17.69;
5521.32;16.74;
5521.47;16.54;
5521.62;16.30;
5521.78;16.29;
5521.93;16.22;
5522.08;16.25;9.3
5522.23;16.54;
5522.39;16.70;
5522.54;17.22;
5522.69;18.12;
5522.84;19.78;
5523.00;21.19;
5523.15;21.32;
5523.30;20.34;
5523.45;18.70;
5523.60;17.77;
5523.76;16.61;
5523.91;15.58;
5524.06;15.19;
5524.21;16.43;
5524.37;18.56;
5524.52;20.06;
5524.67;21.12;
5524.82;22.03;
5524.98;21.50;
5525.13;21.02;
5525.28;20.66;
5525.43;21.48;
5525.59;20.94;
5525.74;18.95;
5525.89;17.70;
5526.04;17.09;
5526.20;17.20;
5526.35;16.42;
5526.50;15.58;
5526.65;16.25;
5526.81;17.84;
5526.96;19.84;
5527.11;21.47;
5527.26;21.55;
5527.41;21.22;
5527.57;19.89;
5527.72;19.36;
5527.87;18.98;
5528.02;18.21;
5528.18;18.00;
5528.33;18.23;
5528.48;18.83;
5528.63;20.42;
5528.79;22.00;
5528.94;25.11;
5529.09;28.25;
5529.24;29.97;
5529.40;29.75;
5529.55;29.76;
5529.70;32.46;
5529.85;35.44;
5530.01;35.01;
5530.16;31.24;
5530.31;26.23;
5530.46;22.68;
5530.62;20.73;
5530.77;19.20;
5530.92;17.37;
5531.07;15.69;
5531.22;15.47;
5531.38;16.79;
5531.53;18.03;
5531.68;18.46;
5531.83;17.80;
5531.99;17.29;
5532.14;17.02;
5532.29;17.62;
5532.44;18.10;
5532.60;18.12;
5532.75;17.82;
5532.90;17.41;
5533.05;18.14;
5533.21;17.98;
5533.36;16.66;
5533.51;15.09;
5533.66;14.16;
5533.82;14.89;
5533.97;15.54;
5534.12;15.72;
5534.27;15.09;
5534.43;15.75;
5534.58;16.34;
5534.73;17.44;
5534.88;16.76;
5535.03;16.03;
5535.19;15.65;
5535.34;13.40;
5535.49;13.12;
5535.64;12.18;
5535.80;10.97;
5535.95;11.11;
5536.10;12.56;
5536.25;13.90;
5536.41;15.05;
5536.56;15.78;
5536.71;18.31;
5536.86;23.37;
5537.02;28.02;
5537.17;29.76;
5537.32;26.81;
5537.47;22.88;
5537.63;19.18;
5537.78;16.83;
5537.93;16.57;
5538.08;19.87;
5538.24;30.00;
5538.39;43.30;
5538.54;48.34;
5538.69;40.08;
5538.84;25.06;
5539.00;15.16;
5539.15;12.34;
5539.30;12.41;
5539.45;12.09;
5539.61;13.26;
5539.76;12.98;
5539.91;13.13;
5540.06;12.42;
5540.22;13.01;
5540.37;13.48;
5540.52;13.75;
5540.67;13.80;
5540.83;14.82;
5540.98;17.49;
5541.13;21.41;
5541.28;26.26;
5541.44;31.03;
5541.59;34.83;
5541.74;35.75;
5541.89;33.78;
5542.05;32.13;
5542.20;29.44;
5542.35;25.87;
5542.50;20.29;
5542.65;17.39;
5542.81;16.74;
5542.96;17.85;
5543.11;18.81;
5543.26;20.08;
5543.42;21.53;
5543.57;23.13;
5543.72;24.66;
5543.87;26.19;
5544.03;26.78;
5544.18;27.13;
5544.33;26.76;
5544.48;27.01;
5544.64;27.19;
5544.79;28.07;
5544.94;27.53;
5545.09;26.58;
5545.25;24.26;
5545.40;24.37;
5545.55;23.58;
5545.70;24.33;
5545.86;22.83;
5546.01;21.87;
5546.16;20.56;
5546.31;19.43;
5546.46;19.22;
5546.62;19.34;
5546.77;21.83;
5546.92;24.63;
5547.07;25.54;
5547.23;22.88;
5547.38;17.69;
5547.53;13.24;
5547.68;10.78;
5547.84;10.33;
5547.99;10.29;
5548.14;11.71;
5548.29;12.79;
5548.45;12.99;
5548.60;11.40;
5548.75;9.96;
5548.90;10.23;
5549.06;11.73;
5549.21;13.60;
5549.36;13.86;
5549.51;12.94;
5549.67;11.92;
5549.82;10.87;
5549.97;10.48;
5550.12;9.78;
5550.27;10.16;
5550.43;10.14;
5550.58;11.20;
5550.73;11.75;
5550.88;12.11;
5551.04;11.45;
5551.19;10.63;
5551.34;10.00;
5551.49;10.29;
5551.65;11.28;
5551.80;11.88;
5551.95;10.97;
5552.10;9.15;
5552.26;7.90;
5552.41;7.69;
5552.56;8.43;
5552.71;9.01;
5552.87;9.21;
5553.02;10.12;
5553.17;12.69;
5553.32;13.73;
5553.48;13.33;
5553.63;12.76;
5553.78;14.56;
5553.93;16.44;
5554.08;16.45;
5554.24;14.79;
5554.39;12.45;
5554.54;10.88;
5554.69;9.71;
5554.85;9.08;
5555.00;8.04;
5555.15;7.82;
5555.30;8.03;
5555.46;8.35;
5555.61;8.45;
5555.76;8.68;
5555.91;8.75;
5556.07;8.94;
5556.22;9.54;
5556.37;9.68;
5556.52;9.77;
5556.68;9.45;
5556.83;9.62;
5556.98;9.89;
5557.13;10.01;
5557.29;10.27;
5557.44;9.62;
5557.59;9.60;
5557.74;10.43;
5557.89;12.25;
5558.05;13.72;
5558.20;13.67;
5558.35;14.43;
5558.50;14.43;
5558.66;14.71;
5558.81;13.84;
5558.96;13.47;
5559.11;14.11;
5559.27;15.22;
5559.42;16.60;
5559.57;16.60;
5559.72;15.08;
5559.88;12.97;
5560.03;12.50;
5560.18;12.63;
5560.33;11.78;
5560.49;10.18;
5560.64;8.68;
5560.79;8.57;
5560.94;8.98;
5561.10;9.86;
5561.25;10.62;
5561.40;10.85;
5561.55;10.91;
5561.70;11.39;
5561.86;11.61;
5562.01;12.86;
5562.16;13.88;
5562.31;14.71;
5562.47;13.68;
5562.62;12.64;
5562.77;12.16;
5562.92;11.66;
5563.08;10.80;
5563.23;9.39;
5563.38;9.58;
5563.53;11.41;
5563.69;12.98;
5563.84;14.68;
5563.99;15.07;
5564.14;16.98;
5564.30;17.49;
5564.45;17.85;
5564.60;16.65;
5564.75;15.56;
5564.91;14.17;
5565.06;13.14;
5565.21;12.22;
5565.36;11.65;
5565.51;10.84;
5565.67;10.93;
5565.82;10.64;
5565.97;10.30;
5566.12;9.97;
5566.28;10.93;
5566.43;12.40;
5566.58;14.32;
5566.73;15.86;
5566.89;17.54;
5567.04;18.12;
5567.19;17.62;
5567.34;17.74;
5567.50;19.54;
5567.65;22.18;
5567.80;25.92;
5567.95;30.00;
5568.11;33.17;
5568.26;33.18;
5568.41;31.14;
5568.56;28.67;
5568.72;27.63;
5568.87;26.00;
5569.02;25.52;
5569.17;23.71;
5569.32;21.91;
5569.48;19.50;
5569.63;19.18;
5569.78;19.43;
5569.93;20.56;
5570.09;21.30;
5570.24;22.24;
5570.39;23.13;
5570.54;24.52;
5570.70;26.28;
5570.85;28.21;
5571.00;27.97;
5571.15;26.49;
5571.31;22.97;
5571.46;19.30;
5571.61;18.31;
5571.76;20.08;
5571.92;22.78;
5572.07;24.15;
5572.22;24.48;
5572.37;26.96;
5572.53;28.46;
5572.68;29.14;
5572.83;26.70;
5572.98;24.44;
5573.13;23.10;
5573.29;26.05;
5573.44;31.20;
5573.59;34.55;
5573.74;34.82;
5573.90;34.85;
5574.05;34.34;
5574.20;31.99;
5574.35;25.72;
5574.51;20.59;
5574.66;17.28;
5574.81;16.79;
5574.96;16.22;
5575.12;15.28;
5575.27;13.84;
5575.42;13.46;
5575.57;13.35;
5575.73;12.86;
5575.88;12.07;
5576.03;11.79;
5576.18;11.87;
5576.34;11.97;
5576.49;12.04;
5576.64;12.67;
5576.79;13.67;
5576.94;15.54;
5577.10;19.31;
5577.25;21.15;
5577.40;21.23;
5577.55;17.14;
5577.71;14.01;
5577.86;12.63;
5578.01;11.89;
5578.16;11.80;
5578.32;11.56;
5578.47;13.15;
5578.62;14.45;
5578.77;14.97;
5578.93;14.60;
5579.08;14.30;
5579.23;14.12;
5579.38;13.69;
5579.54;13.64;
5579.69;13.17;
5579.84;13.17;
5579.99;12.90;
5580.15;13.37;
5580.30;13.86;
5580.45;14.68;
5580.60;14.32;
5580.75;13.77;
5580.91;13.03;
5581.06;13.46;
5581.21;13.20;
5581.36;13.60;
5581.52;13.86;
5581.67;14.29;
5581.82;13.85;
5581.97;12.34;
5582.13;11.73;
5582.28;11.51;
5582.43;11.58;
5582.58;11.26;
5582.74;10.74;
5582.89;11.48;
5583.04;13.01;
5583.19;13.75;
5583.35;13.71;
5583.50;12.37;
5583.65;11.97;
5583.80;12.51;
5583.96;13.76;
5584.11;15.17;
5584.26;14.81;
5584.41;13.35;
5584.56;11.34;
5584.72;10.74;
5584.87;11.28;
5585.02;12.03;
5585.17;12.46;
5585.33;13.09;
5585.48;14.50;
5585.63;16.36;
5585.78;17.65;
5585.94;18.70;
5586.09;18.78;
5586.24;19.21;
5586.39;18.00;
5586.55;16.52;
5586.70;15.13;
5586.85;14.36;
5587.00;14.33;
5587.16;14.15;
5587.31;14.39;
5587.46;13.99;
5587.61;12.80;
5587.77;12.55;
5587.92;12.57;
5588.07;13.32;
5588.22;12.79;
5588.37;12.45;
5588.53;11.70;
5588.68;11.41;
5588.83;12.11;
5588.98;13.70;
5589.14;16.12;
5589.29;16.66;
5589.44;16.38;
5589.59;15.50;
5589.75;14.81;
5589.90;13.17;
5590.05;12.59;
5590.20;13.33;
5590.36;14.96;
5590.51;14.83;
5590.66;15.12;
5590.81;16.22;
5590.97;18.64;
5591.12;19.67;
5591.27;19.79;
5591.42;18.91;
5591.58;17.89;
5591.73;17.65;
5591.88;16.79;
5592.03;15.33;
5592.18;13.39;
5592.34;12.84;
5592.49;13.95;
5592.64;13.84;
5592.79;13.93;
5592.95;14.28;
5593.10;16.55;
5593.25;19.61;
5593.40;25.61;
5593.56;34.07;
5593.71;41.60;
5593.86;39.80;
5594.01;32.11;
5594.17;22.31;
5594.32;16.86;
5594.47;13.52;
5594.62;12.68;
5594.78;14.24;
5594.93;16.49;
5595.08;17.31;
5595.23;15.80;
5595.39;14.60;
5595.54;13.99;
5595.69;14.11;
5595.84;13.81;
5595.99;13.72;
5596.15;14.27;
5596.30;14.69;
5596.45;15.23;
5596.60;16.64;
5596.76;19.11;
5596.91;20.78;
5597.06;20.51;
5597.21;17.89;
5597.37;14.70;
5597.52;12.90;
5597.67;12.86;
5597.82;13.47;
5597.98;13.39;
5598.13;13.80;
5598.28;14.75;
5598.43;15.38;
5598.59;15.30;
5598.74;14.43;
5598.89;13.67;
5599.04;13.39;
5599.20;13.46;
5599.35;14.66;
5599.50;16.25;
5599.65;18.80;
5599.80;20.95;
5599.96;23.68;
5600.11;25.02;
5600.26;25.16;
5600.41;22.52;
5600.57;19.99;
5600.72;18.46;
5600.87;19.31;
5601.02;21.65;
5601.18;24.22;
5601.33;24.60;
5601.48;22.80;
5601.63;20.16;
5601.79;18.60;
5601.94;17.27;
5602.09;15.73;
5602.24;14.46;
5602.40;15.33;
5602.55;16.54;
5602.70;17.76;
5602.85;17.60;
5603.01;19.15;
5603.16;21.43;
5603.31;23.75;
5603.46;24.20;
5603.61;24.67;
5603.77;25.67;
5603.92;24.79;
5604.07;21.52;
5604.22;19.14;
5604.38;19.22;
5604.53;20.83;
5604.68;22.09;
5604.83;22.85;
5604.99;23.27;
5605.14;22.02;
5605.29;22.43;
5605.44;22.47;
5605.60;21.69;
5605.75;20.97;
5605.90;24.18;
5606.05;27.77;
5606.21;29.04;
5606.36;26.41;
5606.51;26.75;
5606.66;29.01;
5606.82;30.40;
5606.97;27.23;
5607.12;22.02;
5607.27;17.19;
5607.42;15.09;
5607.58;14.35;
5607.73;14.57;
5607.88;14.24;
5608.03;13.09;
5608.19;12.77;
5608.34;13.62;
5608.49;15.36;
5608.64;17.60;
5608.80;20.13;
5608.95;22.97;
5609.10;24.73;
5609.25;25.76;
5609.41;24.58;
5609.56;22.11;
5609.71;17.82;
5609.86;16.06;
5610.02;15.26;2.1
5610.17;16.41;
5610.32;16.11;
5610.47;15.42;
5610.63;13.38;
5610.78;12.62;
5610.93;13.45;
5611.08;15.91;
5611.23;18.82;
5611.39;22.37;
5611.54;25.06;
5611.69;25.28;
5611.84;22.75;
5612.00;20.00;
5612.15;17.52;
5612.30;15.35;
5612.45;13.60;
5612.61;14.54;
5612.76;16.59;
5612.91;18.82;
5613.06;19.31;
5613.22;19.68;
5613.37;20.00;
5613.52;20.81;
5613.67;21.74;
5613.83;23.61;
5613.98;25.78;
5614.13;30.67;
5614.28;34.44;
5614.44;36.05;
5614.59;33.82;
5614.74;29.63;
5614.89;24.36;
5615.04;20.41;
5615.20;20.24;
5615.35;22.48;
5615.50;22.35;
5615.65;19.75;
5615.81;17.58;
5615.96;17.58;
5616.11;17.04;
5616.26;16.11;
5616.42;16.97;
5616.57;18.86;
5616.72;19.27;
5616.87;17.93;
5617.03;17.06;
5617.18;16.92;
5617.33;16.41;
5617.48;16.22;
5617.64;15.88;
5617.79;16.51;
5617.94;16.19;
5618.09;16.47;
5618.25;15.66;
5618.40;17.09;
5618.55;20.82;
5618.70;23.69;
5618.85;22.94;
5619.01;19.09;
5619.16;15.29;
5619.31;14.08;
5619.46;14.52;
5619.62;16.73;
5619.77;17.04;
5619.92;16.47;
5620.07;14.42;
5620.23;14.24;
5620.38;14.57;
5620.53;15.29;
5620.68;15.02;
5620.84;15.02;
5620.99;14.94;
5621.14;15.18;
5621.29;15.11;
5621.45;16.24;
5621.60;19.60;
5621.75;23.92;
5621.90;26.68;
5622.06;29.44;
5622.21;31.23;
5622.36;32.09;
5622.51;29.34;
5622.66;24.87;
5622.82;21.41;
5622.97;19.25;
5623.12;16.42;
5623.27;15.38;
5623.43;14.73;
5623.58;15.72;
5623.73;15.54;
5623.88;16.58;
5624.04;19.50;
5624.19;22.49;
5624.34;24.30;
5624.49;23.54;
5624.65;24.26;
5624.80;27.54;
5624.95;32.89;
5625.10;32.52;
5625.26;27.64;
5625.41;21.86;
5625.56;20.03;
5625.71;19.02;
5625.87;19.02;
5626.02;19.78;
5626.17;22.81;
5626.32;26.79;
5626.47;28.93;
5626.63;28.80;
5626.78;27.70;
5626.93;30.03;
5627.08;31.21;
5627.24;31.01;
5627.39;30.37;
5627.54;31.25;
5627.69;31.85;
5627.85;29.22;
5628.00;26.84;
5628.15;26.07;
5628.30;25.32;
5628.46;24.95;
5628.61;23.92;
5628.76;25.06;
5628.91;25.33;
5629.07;23.22;
5629.22;21.23;
5629.37;19.85;
5629.52;21.08;
5629.68;21.06;
5629.83;20.19;
5629.98;18.69;
5630.13;18.31;
5630.28;19.45;
5630.44;21.89;
5630.59;24.86;
5630.74;27.50;
5630.89;27.85;
5631.05;27.43;
5631.20;28.62;
5631.35;30.24;
5631.50;31.32;
5631.66;32.12;
5631.81;34.20;
5631.96;37.61;
5632.11;41.55;
5632.27;42.62;
5632.42;42.56;
5632.57;39.87;
5632.72;39.70;
5632.88;38.84;
5633.03;34.59;
5633.18;29.53;
5633.33;25.90;
5633.49;24.49;
5633.64;22.14;
5633.79;18.29;
5633.94;16.21;
5634.09;17.08;
5634.25;20.83;
5634.40;24.48;
5634.55;27.09;
5634.70;28.70;
5634.86;31.93;
5635.01;35.57;
5635.16;37.68;
5635.31;34.78;
5635.47;29.73;
5635.62;24.74;
5635.77;22.93;
5635.92;22.11;
5636.08;20.45;
5636.23;19.56;
5636.38;18.40;
5636.53;18.25;
5636.69;16.94;
5636.84;16.25;
5636.99;15.13;
5637.14;15.08;
5637.30;13.88;
5637.45;13.35;
5637.60;12.66;
5637.75;14.25;
5637.90;15.72;
5638.06;16.02;
5638.21;14.72;
5638.36;13.49;
5638.51;12.78;
5638.67;13.50;
5638.82;14.51;
5638.97;17.30;
5639.12;20.07;
5639.28;23.57;
5639.43;25.13;
5639.58;26.41;
5639.73;24.98;
5639.89;24.07;
5640.04;20.47;
5640.19;17.76;
5640.34;15.00;
5640.50;15.40;
5640.65;15.82;
5640.80;16.03;
5640.95;15.07;
5641.11;14.10;
5641.26;13.80;
5641.41;13.70;
5641.56;14.43;
5641.71;15.60;
5641.87;15.94;
5642.02;16.07;
5642.17;15.59;
5642.32;16.72;
5642.48;16.28;
5642.63;15.68;
5642.78;14.25;
5642.93;15.20;
5643.09;16.32;
5643.24;17.79;
5643.39;18.98;
5643.54;19.16;
5643.70;17.75;
5643.85;16.78;
5644.00;16.56;
5644.15;17.06;
5644.31;17.23;
5644.46;17.06;
5644.61;16.91;
5644.76;16.47;
5644.92;17.34;
5645.07;18.87;
5645.22;19.31;
5645.37;18.36;
5645.52;17.05;
5645.68;16.36;
5645.83;16.53;
5645.98;17.31;
5646.13;17.50;
5646.29;17.68;
5646.44;17.98;
5646.59;21.19;
5646.74;27.12;
5646.90;33.18;
5647.05;36.64;
5647.20;34.22;
5647.35;27.73;
5647.51;20.43;
5647.66;16.55;
5647.81;16.44;
5647.96;17.51;
5648.12;18.24;
5648.27;20.12;
5648.42;21.45;
5648.57;21.75;
5648.73;19.85;
5648.88;18.80;
5649.03;18.70;
5649.18;21.19;
5649.33;22.45;
5649.49;21.23;
5649.64;18.26;
5649.79;16.36;
5649.94;15.97;
5650.10;16.75;
